65861	4021	65861	45394	1991	500
63134	4034	63134	45348	2004	500
63353	4039	63353	45361	1929	500
64741	4047	64741	45352	1981	500
63185	4041	63185	45370	2017	500
63079	4019	63079	45351	1976	500
62527	4035	62527	45369	2026	500
62019	4025	62019	45347	1928	500
61160	4028	61160	45324	2031	500
62655	4069	62655	45337	2021	500
60959	4021	60959	45369	1975	500
61570	4054	61570	45340	1922	500
63053	4047	63053	45395	1995	500
61212	4046	61212	45348	1944	500
60588	4048	60588	45314	1948	500
64156	4046	64156	45334	2002	500
62562	4046	62562	45302	2000	500
61557	4055	61557	45343	2016	500
64998	4040	64998	45348	1939	500
61599	4039	61599	45321	2000	500
62854	4028	62854	45328	1999	500
62530	4042	62530	45372	1983	500
60478	4034	60478	45352	1990	500
64715	4023	64715	45349	2020	500
63797	4039	63797	45356	1986	500
59777	4025	59777	45367	1973	500
62054	4054	62054	45348	1938	500
61858	4032	61858	45360	1995	500
62694	4056	62694	45359	1982	500
61751	4065	61751	45337	2035	500
60454	4048	60454	45314	1996	500
63078	4050	63078	45332	2007	500
60907	4041	60907	45372	1996	500
63318	4014	63318	45311	1933	500
64751	4009	64751	45350	2022	500
61712	4028	61712	45338	1974	500
63481	4029	63481	45331	1936	500
61850	4016	61850	45319	1994	500
64024	4032	64024	45372	1963	500
62334	4036	62334	45353	1963	500
59953	4051	59953	45332	1948	500
61277	4043	61277	45318	1928	500
59211	4031	59211	45326	1985	500
62044	4020	62044	45335	1973	500
60687	4033	60687	45322	1957	500
61855	4007	61855	45355	1962	500
62918	4026	62918	45341	1967	500
64306	4040	64306	45292	2049	500
64304	4054	64304	45365	2072	500
64536	4028	64536	45307	2015	500
65143	4019	65143	45325	1916	500
60257	4055	60257	45343	2031	500
59609	4049	59609	45366	2037	500
62585	4047	62585	45336	2005	500
60569	4057	60569	45350	1987	500
62723	4029	62723	45306	1979	500
62770	4038	62770	45380	2030	500
63327	4039	63327	45342	2002	500
63205	4053	63205	45347	2005	500
60649	4061	60649	45331	2046	500
63172	4008	63172	45380	2020	500
64882	4030	64882	45338	1959	500
59474	4028	59474	45342	2023	500
63836	4020	63836	45385	1994	500
59272	4046	59272	45322	1984	500
61321	4053	61321	45361	2017	500
62580	4036	62580	45305	2023	500
60273	4051	60273	45327	1936	500
62872	4060	62872	45359	2005	500
60358	4056	60358	45343	2016	500
62292	4034	62292	45345	1960	500
60074	4024	60074	45338	1999	500
61667	4049	61667	45359	1951	500
58105	4059	58105	45356	1953	500
60650	4060	60650	45362	1952	500
61691	4061	61691	45351	1919	500
60617	4025	60617	45344	1947	500
62779	4023	62779	45348	2006	500
58561	4063	58561	45347	1981	500
66463	4027	66463	45347	1970	500
61169	4041	61169	45340	1992	500
63535	4035	63535	45345	2006	500
59955	4053	59955	45341	1986	500
63390	4032	63390	45357	2017	500
61260	4048	61260	45330	2021	500
62482	4036	62482	45345	2031	500
62554	4058	62554	45335	1984	500
61759	4045	61759	45360	1998	500
60591	4059	60591	45340	2005	500
61993	4041	61993	45351	2035	500
62936	4018	62936	45340	1997	500
63581	4027	63581	45325	2017	500
60924	4044	60924	45359	2006	500
58282	4076	58282	45334	2009	500
62406	4030	62406	45309	2011	500
65713	3995	65713	45342	1994	500
62003	4073	62003	45315	2020	500
61772	4066	61772	45346	1944	500
62632	3998	62632	45357	2044	500
60181	4043	60181	45401	1981	500
61998	4066	61998	45340	1990	500
62083	4045	62083	45355	1973	500
64625	4039	64625	45380	1977	500
64122	4042	64122	45383	1968	500
62683	4055	62683	45345	1955	500
66388	4048	66388	45343	2007	500
60433	4023	60433	45335	1962	500
64760	4060	64760	45355	1998	500
64671	4061	64671	45348	2019	500
61429	4061	61429	45344	2015	500
62690	4038	62690	45325	1999	500
61993	4021	61993	45329	1997	500
62831	3997	62831	45332	2001	500
65991	4027	65991	45358	2015	500
61183	4067	61183	45366	2046	500
62638	4038	62638	45367	2032	500
59076	4074	59076	45375	1952	500
62257	4043	62257	45345	2006	500
63693	4057	63693	45365	1965	500
67471	4011	67471	45337	1919	500
66769	4019	66769	45351	2002	500
61423	4051	61423	45291	2058	500
60517	4067	60517	45356	1965	500
61261	4033	61261	45326	2005	500
63764	4064	63764	45340	2019	500
64671	4049	64671	45350	1985	500
63599	4053	63599	45311	1957	500
62166	4026	62166	45341	1995	500
62335	4059	62335	45360	2024	500
60593	4043	60593	45360	2011	500
58408	4060	58408	45341	1877	500
62067	4043	62067	45362	1986	500
65227	4043	65227	45360	1974	500
60675	4097	60675	45348	2005	500
63356	4040	63356	45337	1986	500
64117	4057	64117	45340	1953	500
62393	4041	62393	45349	2015	500
62547	4051	62547	45347	1961	500
60028	4040	60028	45348	1971	500
63067	4049	63067	45363	2013	500
61828	4030	61828	45358	2011	500
63495	4037	63495	45343	1955	500
61457	4045	61457	45339	1941	500
62025	4045	62025	45326	1982	500
65179	4031	65179	45352	2013	500
61068	4054	61068	45322	1946	500
63514	4036	63514	45329	1935	500
64108	4024	64108	45336	2021	500
61043	4071	61043	45348	1993	500
60942	4054	60942	45326	1935	500
62174	4032	62174	45316	2046	500
61011	4035	61011	45333	1926	500
66879	4031	66879	45352	1958	500
64232	4004	64232	45367	2049	500
61212	4010	61212	45389	1999	500
61661	4049	61661	45381	1958	500
61117	4047	61117	45343	1952	500
62382	4082	62382	45340	1982	500
59183	4023	59183	45350	1928	500
63952	4044	63952	45311	1960	500
62949	4029	62949	45322	2041	500
62717	4055	62717	45367	2008	500
60519	4053	60519	45332	1895	500
61344	4028	61344	45369	1939	500
60328	4060	60328	45316	1990	500
61608	4078	61608	45345	2036	500
61307	4073	61307	45358	1980	500
64702	4022	64702	45343	2037	500
62578	4062	62578	45372	1995	500
60167	4083	60167	45376	2038	500
62769	4041	62769	45357	2025	500
63832	4072	63832	45347	1997	500
66055	4049	66055	45361	1982	500
63410	4034	63410	45318	2022	500
64925	4037	64925	45357	1982	500
59844	4040	59844	45359	1967	500
65521	4023	65521	45355	1968	500
64487	4051	64487	45329	2035	500
65796	4006	65796	45301	2020	500
62642	4032	62642	45338	1954	500
63954	4054	63954	45341	1961	500
60841	4049	60841	45365	1948	500
60029	4055	60029	45332	2065	500
60425	4057	60425	45321	1995	500
61959	4053	61959	45362	2003	500
62298	4040	62298	45295	1977	500
63622	4010	63622	45338	2005	500
63089	4039	63089	45349	2019	500
64074	4024	64074	45350	2063	500
60308	4042	60308	45354	2007	500
62763	4045	62763	45354	1991	500
59229	4051	59229	45362	1903	500
63034	4042	63034	45325	2006	500
62913	4043	62913	45330	1910	500
64228	4048	64228	45324	2048	500
63713	4031	63713	45370	2012	500
64455	4045	64455	45327	2072	500
62239	4043	62239	45317	2020	500
61533	4071	61533	45378	1928	500
61650	4048	61650	45305	2029	500
62117	4037	62117	45316	1950	500
61076	4034	61076	45370	1930	500
58590	4048	58590	45354	1939	500
60386	4046	60386	45340	2032	500
61469	4077	61469	45361	1991	500
63150	4062	63150	45344	1997	500
62385	4045	62385	45355	2007	500
60459	4027	60459	45319	1957	500
62605	4055	62605	45374	2019	500
64032	4040	64032	45366	1936	500
61717	4027	61717	45375	1959	500
63037	4047	63037	45372	1987	500
64005	4043	64005	45360	2007	500
63964	4050	63964	45361	1982	500
62723	4043	62723	45350	2016	500
62779	4037	62779	45312	1966	500
63621	4033	63621	45304	1976	500
61390	4028	61390	45360	2067	500
64044	4034	64044	45358	2018	500
60243	4051	60243	45352	1963	500
63003	4051	63003	45367	1979	500
63506	4030	63506	45382	2045	500
61864	4026	61864	45349	1929	500
58701	4079	58701	45354	1901	500
62640	4058	62640	45365	1962	500
60699	4061	60699	45332	1957	500
62556	4026	62556	45362	1986	500
63939	4049	63939	45325	1953	500
60847	4067	60847	45355	1973	500
62736	4032	62736	45317	2014	500
62238	4062	62238	45368	1959	500
61128	4038	61128	45378	1982	500
60655	4059	60655	45336	1961	500
61834	4058	61834	45354	1914	500
65997	4031	65997	45340	1829	500
63070	4026	63070	45382	1962	500
64408	4050	64408	45372	1969	500
61331	4025	61331	45345	2024	500
65106	4046	65106	45342	1955	500
60075	4081	60075	45367	2008	500
64096	4032	64096	45365	1991	500
60648	4062	60648	45346	2058	500
59169	4043	59169	45328	2015	500
61120	4066	61120	45368	1967	500
61099	4045	61099	45310	1930	500
61608	4046	61608	45335	1973	500
63230	4020	63230	45326	2053	500
60024	4044	60024	45355	2002	500
64798	4034	64798	45348	1970	500
59562	4064	59562	45361	1929	500
62632	4038	62632	45331	1971	500
63023	4059	63023	45347	2002	500
62545	4045	62545	45338	1924	500
64928	4062	64928	45313	1996	500
63809	4047	63809	45312	1954	500
64222	4044	64222	45312	1978	500
65913	4039	65913	45362	2023	500
63724	4024	63724	45367	2008	500
64468	4050	64468	45369	1954	500
62581	4037	62581	45360	2009	500
64530	4048	64530	45376	2041	500
61300	4034	61300	45382	2023	500
64124	4046	64124	45357	1985	500
62935	4023	62935	45339	1990	500
58604	4054	58604	45369	1986	500
60961	4031	60961	45308	1978	500
59246	4042	59246	45385	1957	500
59769	4011	59769	45318	2002	500
62646	4056	62646	45341	1998	500
61999	4047	61999	45383	2011	500
58838	4054	58838	45343	1961	500
58657	4041	58657	45354	2007	500
63803	4057	63803	45352	1935	500
59995	4025	59995	45348	1914	500
61976	4042	61976	45343	2006	500
61495	4057	61495	45346	1982	500
64308	4064	64308	45374	2025	500
60840	4058	60840	45355	2000	500
61594	4020	61594	45368	1972	500
58152	4034	58152	45369	1999	500
60872	4046	60872	45347	1990	500
61324	4054	61324	45329	1960	500
59978	4038	59978	45330	1977	500
64360	4018	64360	45370	1936	500
61801	4035	61801	45346	2028	500
63293	4041	63293	45369	2018	500
66882	4002	66882	45363	1930	500
56352	4082	56352	45326	1940	500
61327	4065	61327	45381	1942	500
61916	4054	61916	45362	1975	500
63633	4053	63633	45345	2065	500
59775	4051	59775	45366	2013	500
62239	4027	62239	45360	1935	500
59813	4053	59813	45339	1973	500
59805	4039	59805	45324	1951	500
62092	4046	62092	45349	2086	500
64065	4031	64065	45363	1974	500
60959	4053	60959	45363	1942	500
60952	4058	60952	45338	2010	500
61705	4023	61705	45341	1999	500
110705	3773	110705	44983	1843	500
113399	3761	113399	44909	1825	500
111841	3781	111841	44968	1792	500
59321	4079	59321	45339	2046	500
10900	4182	10900	44944	1534	500
95210	3864	95210	45276	2014	500
19986	4148	19986	45176	1672	500
110183	3787	110183	45043	1901	500
13153	4167	13153	45054	1545	500
38290	4128	38290	45311	1914	500
11097	4185	11097	44972	1474	500
4834	4204	4834	44692	1239	500
112460	3784	112460	44932	1902	500
113258	3760	113258	44923	1853	500
109846	3794	109846	44970	1869	500
112619	3749	112619	44926	1774	500
117894	3722	117894	44710	1627	500
118079	3709	118079	44690	1676	500
35194	4140	35194	45372	1872	500
3786	4218	3786	44602	1163	500
6743	4179	6743	44837	1358	500
109253	3827	109253	44949	1922	500
90218	3894	90218	45244	1988	500
77549	3963	77549	45353	2033	500
98916	3862	98916	45188	1983	500
111956	3784	111956	44982	1820	500
123049	3687	123049	44198	1269	500
75554	4014	75554	45324	2032	500
103328	3832	103328	45127	1930	500
112795	3773	112795	44976	1833	500
30410	4148	30410	45275	1821	500
87549	3927	87549	45285	1992	500
5890	4188	5890	44813	1328	500
106734	3846	106734	45122	1869	500
18839	4165	18839	45179	1703	500
117166	3750	117166	44697	1690	500
25562	4166	25562	45210	1710	500
107275	3823	107275	45056	1860	500
113215	3775	113215	44912	1768	500
108566	3808	108566	45043	1881	500
15000	4188	15000	45053	1573	500
37951	4111	37951	45246	1888	500
98442	3858	98442	45206	1939	500
99650	3850	99650	45241	1998	500
15917	4153	15917	45132	1647	500
78335	3973	78335	45295	1990	500
113172	3778	113172	44975	1852	500
113492	3768	113492	44888	1773	500
6663	4201	6663	44730	1349	500
19109	4187	19109	45162	1702	500
115374	3754	115374	44811	1803	500
108536	3814	108536	45008	1814	500
6680	4192	6680	44787	1403	500
80316	3950	80316	45311	2027	500
113974	3752	113974	44921	1759	500
24179	4139	24179	45230	1738	500
112269	3767	112269	44996	1758	500
7216	4188	7216	44817	1358	500
6835	4185	6835	44767	1385	500
16591	4153	16591	45130	1625	500
89665	3901	89665	45273	1983	500
101147	3845	101147	45192	1918	500
33583	4135	33583	45301	1840	500
70646	4044	70646	45325	2060	500
9912	4172	9912	44912	1555	500
109569	3785	109569	44987	1815	500
23365	4157	23365	45226	1741	500
101037	3847	101037	45164	1940	500
18414	4164	18414	45209	1693	500
25974	4140	25974	45231	1720	500
20063	4171	20063	45139	1746	500
92781	3881	92781	45292	2005	500
102334	3858	102334	45190	1996	500
76152	3990	76152	45325	2054	500
85166	3942	85166	45265	2008	500
22631	4167	22631	45191	1738	500
113890	3756	113890	44906	1737	500
22590	4162	22590	45211	1717	500
117864	3720	117864	44646	1642	500
7007	4189	7007	44852	1394	500
89236	3922	89236	45289	1980	500
110765	3777	110765	45005	1841	500
113667	3753	113667	44890	1742	500
18880	4146	18880	45191	1703	500
111648	3798	111648	44897	1844	500
103522	3844	103522	45084	1947	500
11024	4186	11024	44977	1476	500
63863	4059	63863	45341	1977	500
25890	4166	25890	45161	1757	500
86358	3918	86358	45290	2041	500
104398	3810	104398	45092	1947	500
11806	4188	11806	44973	1551	500
12002	4184	12002	45048	1525	500
42802	4108	42802	45291	1852	500
96245	3867	96245	45208	2013	500
42453	4103	42453	45355	1895	500
122655	3677	122655	44290	1303	500
115339	3743	115339	44845	1796	500
5718	4208	5718	44675	1343	500
114197	3755	114197	44866	1744	500
17928	4168	17928	45066	1643	500
3948	4210	3948	44640	1186	500
102855	3859	102855	45162	2006	500
889	4315	889	44257	792	500
114623	3767	114623	44832	1721	500
16862	4168	16862	45111	1642	500
112576	3770	112576	44960	1845	500
63787	4049	63787	45373	2015	500
7646	4190	7646	44848	1456	500
15498	4152	15498	45053	1642	500
11115	4161	11115	44948	1517	500
13619	4149	13619	45007	1592	500
112744	3768	112744	44891	1826	500
103894	3844	103894	45135	1936	500
120628	3710	120628	44517	1470	500
85179	3951	85179	45306	2042	500
37871	4111	37871	45288	1844	500
13865	4171	13865	45065	1570	500
96598	3854	96598	45219	1979	500
20640	4162	20640	45206	1749	500
82407	3965	82407	45300	2055	500
114645	3745	114645	44876	1755	500
120320	3720	120320	44571	1521	500
122848	3688	122848	44204	1257	500
113526	3776	113526	44921	1790	500
9507	4183	9507	44869	1468	500
102856	3812	102856	45169	2030	500
98759	3839	98759	45199	1888	500
28669	4163	28669	45316	1808	500
99084	3862	99084	45214	2007	500
9754	4180	9754	44925	1480	500
46049	4093	46049	45335	1900	500
17717	4161	17717	45144	1607	500
116146	3732	116146	44773	1699	500
18555	4157	18555	45175	1646	500
103526	3832	103526	45056	1908	500
34393	4099	34393	45313	1804	500
6006	4186	6006	44743	1322	500
8034	4162	8034	44848	1450	500
32223	4151	32223	45312	1837	500
14711	4177	14711	45092	1599	500
53034	4102	53034	45352	2008	500
14604	4168	14604	45070	1580	500
112447	3749	112447	44896	1902	500
120380	3684	120380	44564	1522	500
112842	3770	112842	44906	1835	500
15373	4159	15373	45091	1644	500
98769	3855	98769	45228	2013	500
38808	4118	38808	45314	1866	500
110198	3770	110198	44935	1812	500
5181	4179	5181	44705	1323	500
109219	3803	109219	45023	1815	500
80642	3956	80642	45316	2068	500
17438	4176	17438	45081	1621	500
15525	4165	15525	45111	1617	500
62427	4039	62427	45355	1976	500
88332	3926	88332	45320	2013	500
6844	4188	6844	44778	1344	500
10869	4153	10869	44976	1488	500
16957	4155	16957	45117	1634	500
4893	4217	4893	44644	1284	500
32394	4128	32394	45241	1841	500
110768	3786	110768	44976	1802	500
11390	4184	11390	44983	1543	500
4466	4192	4466	44683	1208	500
104161	3819	104161	45145	1882	500
112571	3781	112571	44949	1801	500
40430	4126	40430	45303	1857	500
4772	4208	4772	44674	1283	500
20560	4162	20560	45166	1676	500
123202	3688	123202	44180	1218	500
13099	4167	13099	44991	1574	500
9756	4188	9756	44981	1483	500
14798	4182	14798	45074	1634	500
116469	3749	116469	44798	1646	500
117963	3747	117963	44709	1704	500
50930	4088	50930	45361	1960	500
19355	4165	19355	45148	1738	500
10129	4193	10129	44922	1453	500
37997	4117	37997	45310	1898	500
39099	4099	39099	45299	1889	500
24160	4138	24160	45234	1702	500
72967	4017	72967	45317	2028	500
112635	3779	112635	44935	1826	500
71197	4031	71197	45316	2072	500
14329	4157	14329	45055	1618	500
25610	4144	25610	45324	1783	500
8145	4179	8145	44862	1459	500
11337	4183	11337	45042	1517	500
10415	4181	10415	45004	1517	500
13068	4172	13068	45020	1541	500
111230	3794	111230	44973	1833	500
42272	4106	42272	45355	1881	500
116165	3751	116165	44810	1729	500
109104	3790	109104	45028	1866	500
109829	3785	109829	45048	1922	500
118935	3717	118935	44657	1608	500
111979	3789	111979	44915	1784	500
114033	3783	114033	44836	1700	500
6841	4179	6841	44859	1350	500
118894	3708	118894	44666	1585	500
122732	3690	122732	44285	1296	500
116582	3728	116582	44781	1713	500
67921	4031	67921	45370	2014	500
28291	4149	28291	45298	1844	500
32953	4147	32953	45318	1826	500
18341	4155	18341	45098	1684	500
74759	3995	74759	45319	2102	500
8878	4168	8878	44959	1449	500
83062	3962	83062	45302	2042	500
6211	4207	6211	44736	1345	500
108256	3810	108256	45073	1826	500
105762	3806	105762	45090	1937	500
72135	4005	72135	45369	2047	500
103207	3815	103207	45109	1962	500
86708	3922	86708	45291	1999	500
95207	3875	95207	45234	2040	500
5591	4199	5591	44795	1280	500
70941	4011	70941	45330	1985	500
98561	3863	98561	45241	2015	500
85218	3914	85218	45321	2001	500
114735	3757	114735	44818	1686	500
18484	4182	18484	45134	1649	500
9037	4183	9037	44878	1449	500
117484	3720	117484	44778	1601	500
13799	4177	13799	45122	1599	500
78130	3950	78130	45308	1985	500
15255	4157	15255	45059	1612	500
19443	4151	19443	45213	1656	500
7860	4176	7860	44867	1416	500
5652	4206	5652	44713	1270	500
40216	4100	40216	45297	1898	500
72291	4031	72291	45371	2006	500
91772	3900	91772	45262	2121	500
68318	4040	68318	45298	2012	500
112846	3754	112846	44867	1811	500
107718	3776	107718	45055	1902	500
112358	3794	112358	44952	1847	500
21131	4167	21131	45125	1683	500
7849	4195	7849	44859	1435	500
10321	4179	10321	44973	1485	500
14609	4167	14609	45121	1579	500
105648	3790	105648	45068	1926	500
