0.31722	-0.91958	0.31722	-0.09212	-0.96018	-0.99
0.26268	-0.91932	0.26268	-0.09304	-0.95992	-0.99
0.26706	-0.91922	0.26706	-0.09278	-0.96142	-0.99
0.29482	-0.91906	0.29482	-0.09296	-0.96038	-0.99
0.2637	-0.91918	0.2637	-0.0926	-0.95966	-0.99
0.26158	-0.91962	0.26158	-0.09298	-0.96048	-0.99
0.25054	-0.9193	0.25054	-0.09262	-0.95948	-0.99
0.24038	-0.9195	0.24038	-0.09306	-0.96144	-0.99
0.2232	-0.91944	0.2232	-0.09352	-0.95938	-0.99
0.2531	-0.91862	0.2531	-0.09326	-0.95958	-0.99
0.21918	-0.91958	0.21918	-0.09262	-0.9605	-0.99
0.2314	-0.91892	0.2314	-0.0932	-0.96156	-0.99
0.26106	-0.91906	0.26106	-0.0921	-0.9601	-0.99
0.22424	-0.91908	0.22424	-0.09304	-0.96112	-0.99
0.21176	-0.91904	0.21176	-0.09372	-0.96104	-0.99
0.28312	-0.91908	0.28312	-0.09332	-0.95996	-0.99
0.25124	-0.91908	0.25124	-0.09396	-0.96	-0.99
0.23114	-0.9189	0.23114	-0.09314	-0.95968	-0.99
0.29996	-0.9192	0.29996	-0.09304	-0.96122	-0.99
0.23198	-0.91922	0.23198	-0.09358	-0.96	-0.99
0.25708	-0.91944	0.25708	-0.09344	-0.96002	-0.99
0.2506	-0.91916	0.2506	-0.09256	-0.96034	-0.99
0.20956	-0.91932	0.20956	-0.09296	-0.9602	-0.99
0.2943	-0.91954	0.2943	-0.09302	-0.9596	-0.99
0.27594	-0.91922	0.27594	-0.09288	-0.96028	-0.99
0.19554	-0.9195	0.19554	-0.09266	-0.96054	-0.99
0.24108	-0.91892	0.24108	-0.09304	-0.96124	-0.99
0.23716	-0.91936	0.23716	-0.0928	-0.9601	-0.99
0.25388	-0.91888	0.25388	-0.09282	-0.96036	-0.99
0.23502	-0.9187	0.23502	-0.09326	-0.9593	-0.99
0.20908	-0.91904	0.20908	-0.09372	-0.96008	-0.99
0.26156	-0.919	0.26156	-0.09336	-0.95986	-0.99
0.21814	-0.91918	0.21814	-0.09256	-0.96008	-0.99
0.26636	-0.91972	0.26636	-0.09378	-0.96134	-0.99
0.29502	-0.91982	0.29502	-0.093	-0.95956	-0.99
0.23424	-0.91944	0.23424	-0.09324	-0.96052	-0.99
0.26962	-0.91942	0.26962	-0.09338	-0.96128	-0.99
0.237	-0.91968	0.237	-0.09362	-0.96012	-0.99
0.28048	-0.91936	0.28048	-0.09256	-0.96074	-0.99
0.24668	-0.91928	0.24668	-0.09294	-0.96074	-0.99
0.19906	-0.91898	0.19906	-0.09336	-0.96104	-0.99
0.22554	-0.91914	0.22554	-0.09364	-0.96144	-0.99
0.18422	-0.91938	0.18422	-0.09348	-0.9603	-0.99
0.24088	-0.9196	0.24088	-0.0933	-0.96054	-0.99
0.21374	-0.91934	0.21374	-0.09356	-0.96086	-0.99
0.2371	-0.91986	0.2371	-0.0929	-0.96076	-0.99
0.25836	-0.91948	0.25836	-0.09318	-0.96066	-0.99
0.28612	-0.9192	0.28612	-0.09416	-0.95902	-0.99
0.28608	-0.91892	0.28608	-0.0927	-0.95856	-0.99
0.29072	-0.91944	0.29072	-0.09386	-0.9597	-0.99
0.30286	-0.91962	0.30286	-0.0935	-0.96168	-0.99
0.20514	-0.9189	0.20514	-0.09314	-0.95938	-0.99
0.19218	-0.91902	0.19218	-0.09268	-0.95926	-0.99
0.2517	-0.91906	0.2517	-0.09328	-0.9599	-0.99
0.21138	-0.91886	0.21138	-0.093	-0.96026	-0.99
0.25446	-0.91942	0.25446	-0.09388	-0.96042	-0.99
0.2554	-0.91924	0.2554	-0.0924	-0.9594	-0.99
0.26654	-0.91922	0.26654	-0.09316	-0.95996	-0.99
0.2641	-0.91894	0.2641	-0.09306	-0.9599	-0.99
0.21298	-0.91878	0.21298	-0.09338	-0.95908	-0.99
0.26344	-0.91984	0.26344	-0.0924	-0.9596	-0.99
0.29764	-0.9194	0.29764	-0.09324	-0.96082	-0.99
0.18948	-0.91944	0.18948	-0.09316	-0.95954	-0.99
0.27672	-0.9196	0.27672	-0.0923	-0.96012	-0.99
0.18544	-0.91908	0.18544	-0.09356	-0.96032	-0.99
0.22642	-0.91894	0.22642	-0.09278	-0.95966	-0.99
0.2516	-0.91928	0.2516	-0.0939	-0.95954	-0.99
0.20546	-0.91898	0.20546	-0.09346	-0.96128	-0.99
0.25744	-0.9188	0.25744	-0.09282	-0.9599	-0.99
0.20716	-0.91888	0.20716	-0.09314	-0.95968	-0.99
0.24584	-0.91932	0.24584	-0.0931	-0.9608	-0.99
0.20148	-0.91952	0.20148	-0.09324	-0.96002	-0.99
0.23334	-0.91902	0.23334	-0.09282	-0.96098	-0.99
0.1621	-0.91882	0.1621	-0.09288	-0.96094	-0.99
0.213	-0.9188	0.213	-0.09276	-0.96096	-0.99
0.23382	-0.91878	0.23382	-0.09298	-0.96162	-0.99
0.21234	-0.9195	0.21234	-0.09312	-0.96106	-0.99
0.25558	-0.91954	0.25558	-0.09304	-0.95988	-0.99
0.17122	-0.91874	0.17122	-0.09306	-0.96038	-0.99
0.32926	-0.91946	0.32926	-0.09306	-0.9606	-0.99
0.22338	-0.91918	0.22338	-0.0932	-0.96016	-0.99
0.2707	-0.9193	0.2707	-0.0931	-0.95988	-0.99
0.1991	-0.91894	0.1991	-0.09318	-0.96028	-0.99
0.2678	-0.91936	0.2678	-0.09286	-0.95966	-0.99
0.2252	-0.91904	0.2252	-0.0934	-0.95958	-0.99
0.24964	-0.91928	0.24964	-0.0931	-0.95938	-0.99
0.25108	-0.91884	0.25108	-0.0933	-0.96032	-0.99
0.23518	-0.9191	0.23518	-0.0928	-0.96004	-0.99
0.21182	-0.91882	0.21182	-0.0932	-0.9599	-0.99
0.23986	-0.91918	0.23986	-0.09298	-0.9593	-0.99
0.25872	-0.91964	0.25872	-0.0932	-0.96006	-0.99
0.27162	-0.91946	0.27162	-0.0935	-0.95966	-0.99
