0.14285714285714285	0.14285714285714285	0.14285714285714285	0.07142857142857142	0.2857142857142857	0.0	0.07142857142857142	0.0	0.0	0.21428571428571427
0.2857142857142857	0.21428571428571427	0.42857142857142855	0.2857142857142857	0.21428571428571427	0.35714285714285715	0.5714285714285714	0.21428571428571427	0.35714285714285715	0.14285714285714285
0.2857142857142857	0.8571428571428571	0.5	0.5	0.5	0.7142857142857143	0.21428571428571427	0.35714285714285715	0.42857142857142855	0.8571428571428571
0.07142857142857142	0.21428571428571427	0.6428571428571429	0.5714285714285714	0.35714285714285715	0.5	0.35714285714285715	0.7857142857142857	0.35714285714285715	0.5
0.5714285714285714	0.2857142857142857	0.7142857142857143	0.5714285714285714	0.42857142857142855	0.7857142857142857	0.7857142857142857	0.2857142857142857	0.35714285714285715	0.5714285714285714
0.5714285714285714	0.7142857142857143	0.5714285714285714	0.42857142857142855	0.7857142857142857	0.5	0.5714285714285714	1.0	0.7142857142857143	0.35714285714285715
1.0	0.6428571428571429	0.42857142857142855	0.42857142857142855	0.5	0.2857142857142857	0.2857142857142857	0.6428571428571429	0.5	0.21428571428571427
0.6428571428571429	0.5	0.14285714285714285	0.35714285714285715	0.35714285714285715	0.21428571428571427	0.5	0.14285714285714285	0.5714285714285714	0.5714285714285714
0.0	0.0	0.0	0.21428571428571427	0.07142857142857142	0.21428571428571427	0.14285714285714285	0.14285714285714285	0.2857142857142857	0.07142857142857142
0.0	0.0	0.0	0.14285714285714285	0.07142857142857142	0.0	0.07142857142857142	0.0	0.0	0.07142857142857142
0.17647058823529413	0.058823529411764705	0.058823529411764705	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.058823529411764705
0.11764705882352941	0.11764705882352941	0.0	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.11764705882352941	0.058823529411764705	0.058823529411764705	0.058823529411764705
0.058823529411764705	0.17647058823529413	0.23529411764705882	0.47058823529411764	0.29411764705882354	0.11764705882352941	0.0	0.29411764705882354	0.4117647058823529	0.17647058823529413
0.6470588235294118	0.29411764705882354	0.35294117647058826	0.17647058823529413	0.47058823529411764	0.4117647058823529	0.29411764705882354	0.47058823529411764	0.47058823529411764	0.4117647058823529
0.29411764705882354	0.47058823529411764	0.5882352941176471	0.5294117647058824	0.47058823529411764	1.0	0.5882352941176471	0.5882352941176471	0.5294117647058824	0.7647058823529411
0.9411764705882353	0.7058823529411765	0.5882352941176471	0.8235294117647058	0.35294117647058826	0.47058823529411764	0.8823529411764706	0.7647058823529411	0.47058823529411764	0.5882352941176471
0.23529411764705882	0.29411764705882354	0.6470588235294118	0.35294117647058826	0.5294117647058824	0.5294117647058824	0.6470588235294118	0.47058823529411764	0.5294117647058824	0.47058823529411764
0.17647058823529413	0.5882352941176471	0.29411764705882354	0.29411764705882354	0.5882352941176471	0.23529411764705882	0.23529411764705882	0.17647058823529413	0.35294117647058826	0.23529411764705882
