
 <<< ESTIMATION RESULT >>>
No.	size	test	loc_yx	problem	percentage
0	12	100	0,0	0	18.6636
1	12	100	0,1	0	24.3372
2	12	100	0,2	0	23.3428
3	12	100	0,3	0	20.7306
4	12	100	0,4	0	23.8923
5	12	100	0,5	0	24.2911
6	12	100	0,6	0	24.3108
7	12	100	0,7	0	23.8147
8	12	100	0,8	0	20.4328
9	12	100	0,9	0	16.9519
10	12	100	0,10	0	17.349
11	12	100	0,11	0	13.5772
12	12	100	1,0	0	22.0801
13	12	100	1,1	0	28.3979
14	12	100	1,2	0	27.7904
15	12	100	1,3	0	29.4817
16	12	100	1,4	0	29.3364
17	12	100	1,5	0	31.9122
18	12	100	1,6	0	30.2075
19	12	100	1,7	0	32.3204
20	12	100	1,8	0	29.8848
21	12	100	1,9	0	26.2038
22	12	100	1,10	0	21.9022
23	12	100	1,11	0	18.3625
24	12	100	2,0	0	20.4086
25	12	100	2,1	0	25.5611
26	12	100	2,2	0	29.6612
27	12	100	2,3	0	27.4829
28	12	100	2,4	0	28.8614
29	12	100	2,5	0	30.4663
30	12	100	2,6	0	30.9738
31	12	100	2,7	0	31.1468
32	12	100	2,8	0	33.01
33	12	100	2,9	0	28.5777
34	12	100	2,10	0	25.4618
35	12	100	2,11	0	16.4557
36	12	100	3,0	0	19.0197
37	12	100	3,1	0	26.2452
38	12	100	3,2	0	27.0496
39	12	100	3,3	0	26.9702
40	12	100	3,4	0	29.4157
41	12	100	3,5	0	30.6177
42	12	100	3,6	0	28.0954
43	12	100	3,7	0	29.8655
44	12	100	3,8	0	30.8685
45	12	100	3,9	0	29.597
46	12	100	3,10	0	23.638
47	12	100	3,11	0	14.8504
48	12	100	4,0	0	18.1206
49	12	100	4,1	0	24.8654
50	12	100	4,2	0	26.9378
51	12	100	4,3	0	29.6954
52	12	100	4,4	0	32.1282
53	12	100	4,5	0	32.8558
54	12	100	4,6	0	30.8947
55	12	100	4,7	0	27.6038
56	12	100	4,8	0	29.2817
57	12	100	4,9	0	28.327
58	12	100	4,10	0	24.1177
59	12	100	4,11	0	15.2877
60	12	100	5,0	0	21.2718
61	12	100	5,1	0	24.0346
62	12	100	5,2	0	27.5086
63	12	100	5,3	0	28.4458
64	12	100	5,4	0	32.198
65	12	100	5,5	0	34.5695
66	12	100	5,6	0	30.2775
67	12	100	5,7	0	28.5537
68	12	100	5,8	0	27.7173
69	12	100	5,9	0	29.2997
70	12	100	5,10	0	26.3851
71	12	100	5,11	0	17.3129
72	12	100	6,0	0	18.6866
73	12	100	6,1	0	26.3677
74	12	100	6,2	0	24.2777
75	12	100	6,3	0	27.9257
76	12	100	6,4	0	31.7548
77	12	100	6,5	0	32.7064
78	12	100	6,6	0	32.3846
79	12	100	6,7	0	26.0247
80	12	100	6,8	0	26.8224
81	12	100	6,9	0	29.178
82	12	100	6,10	0	28.7186
83	12	100	6,11	0	23.2393
84	12	100	7,0	0	21.3692
85	12	100	7,1	0	22.6202
86	12	100	7,2	0	24.8801
87	12	100	7,3	0	27.2669
88	12	100	7,4	0	31.3485
89	12	100	7,5	0	34.2753
90	12	100	7,6	0	31.4901
91	12	100	7,7	0	29.3113
92	12	100	7,8	0	27.6526
93	12	100	7,9	0	28.5602
94	12	100	7,10	0	30.8534
95	12	100	7,11	0	21.9627
96	12	100	8,0	0	19.3319
97	12	100	8,1	0	25.3506
98	12	100	8,2	0	24.8895
99	12	100	8,3	0	28.8227
100	12	100	8,4	0	31.6507
101	12	100	8,5	0	34.2735
102	12	100	8,6	0	33.5763
103	12	100	8,7	0	33.2634
104	12	100	8,8	0	31.0331
105	12	100	8,9	0	28.5872
106	12	100	8,10	0	26.1594
107	12	100	8,11	0	21.7955
108	12	100	9,0	0	21.118
109	12	100	9,1	0	24.8381
110	12	100	9,2	0	25.1152
111	12	100	9,3	0	28.8168
112	12	100	9,4	0	31.8783
113	12	100	9,5	0	30.9565
114	12	100	9,6	0	33.1545
115	12	100	9,7	0	34.6111
116	12	100	9,8	0	34.6278
117	12	100	9,9	0	29.3996
118	12	100	9,10	0	23.426
119	12	100	9,11	0	18.982
120	12	100	10,0	0	19.7498
121	12	100	10,1	0	23.7806
122	12	100	10,2	0	25.6712
123	12	100	10,3	0	27.0211
124	12	100	10,4	0	29.5923
125	12	100	10,5	0	27.7739
126	12	100	10,6	0	29.3287
127	12	100	10,7	0	34.8717
128	12	100	10,8	0	33.5613
129	12	100	10,9	0	25.5793
130	12	100	10,10	0	22.7223
131	12	100	10,11	0	16.5108
132	12	100	11,0	0	13.8651
133	12	100	11,1	0	19.4398
134	12	100	11,2	0	19.1
135	12	100	11,3	0	22.1987
136	12	100	11,4	0	20.4189
137	12	100	11,5	0	20.4821
138	12	100	11,6	0	22.266
139	12	100	11,7	0	25.8831
140	12	100	11,8	0	24.6832
141	12	100	11,9	0	19.1859
142	12	100	11,10	0	13.738
143	12	100	11,11	0	11.4202
