
 <<< ESTIMATION RESULT >>>
No.	size	test	loc_yx	problem	percentage
0	12	100	0,0	1	13.9525
1	12	100	0,1	1	16.8438
2	12	100	0,2	1	20.2936
3	12	100	0,3	1	23.0434
4	12	100	0,4	1	25.6988
5	12	100	0,5	1	26.3132
6	12	100	0,6	1	25.8022
7	12	100	0,7	1	24.5923
8	12	100	0,8	1	22.1051
9	12	100	0,9	1	19.1077
10	12	100	0,10	1	15.949
11	12	100	0,11	1	12.759
12	12	100	1,0	1	17.3461
13	12	100	1,1	1	21.6223
14	12	100	1,2	1	26.4444
15	12	100	1,3	1	31.0317
16	12	100	1,4	1	33.6438
17	12	100	1,5	1	35.4205
18	12	100	1,6	1	34.6996
19	12	100	1,7	1	32.5434
20	12	100	1,8	1	29.3832
21	12	100	1,9	1	24.7841
22	12	100	1,10	1	19.8888
23	12	100	1,11	1	15.7214
24	12	100	2,0	1	20.8666
25	12	100	2,1	1	26.6709
26	12	100	2,2	1	32.9362
27	12	100	2,3	1	38.501
28	12	100	2,4	1	43.7221
29	12	100	2,5	1	46.1813
30	12	100	2,6	1	44.6531
31	12	100	2,7	1	40.7567
32	12	100	2,8	1	37.5489
33	12	100	2,9	1	30.6555
34	12	100	2,10	1	23.8929
35	12	100	2,11	1	18.5378
36	12	100	3,0	1	24.2158
37	12	100	3,1	1	31.9391
38	12	100	3,2	1	39.5804
39	12	100	3,3	1	48.0007
40	12	100	3,4	1	51.2585
41	12	100	3,5	1	54.3575
42	12	100	3,6	1	54.9302
43	12	100	3,7	1	50.3343
44	12	100	3,8	1	43.7472
45	12	100	3,9	1	36.202
46	12	100	3,10	1	27.8277
47	12	100	3,11	1	21.2682
48	12	100	4,0	1	26.3861
49	12	100	4,1	1	34.5338
50	12	100	4,2	1	44.0819
51	12	100	4,3	1	52.4671
52	12	100	4,4	1	58.9535
53	12	100	4,5	1	61.0986
54	12	100	4,6	1	61.1816
55	12	100	4,7	1	54.0908
56	12	100	4,8	1	49.4862
57	12	100	4,9	1	40.083
58	12	100	4,10	1	31.6416
59	12	100	4,11	1	23.4985
60	12	100	5,0	1	27.5528
61	12	100	5,1	1	36.7516
62	12	100	5,2	1	47.1325
63	12	100	5,3	1	55.2957
64	12	100	5,4	1	62.7042
65	12	100	5,5	1	65.5897
66	12	100	5,6	1	65.3722
67	12	100	5,7	1	59.8858
68	12	100	5,8	1	52.6703
69	12	100	5,9	1	41.8242
70	12	100	5,10	1	33.3999
71	12	100	5,11	1	24.757
72	12	100	6,0	1	28.4438
73	12	100	6,1	1	37.1815
74	12	100	6,2	1	46.3139
75	12	100	6,3	1	57.5304
76	12	100	6,4	1	62.3748
77	12	100	6,5	1	65.6195
78	12	100	6,6	1	64.6717
79	12	100	6,7	1	59.8309
80	12	100	6,8	1	51.7273
81	12	100	6,9	1	43.1579
82	12	100	6,10	1	33.0681
83	12	100	6,11	1	24.7921
84	12	100	7,0	1	26.8801
85	12	100	7,1	1	35.767
86	12	100	7,2	1	45.79
87	12	100	7,3	1	50.3389
88	12	100	7,4	1	56.3037
89	12	100	7,5	1	58.9509
90	12	100	7,6	1	61.0012
91	12	100	7,7	1	55.288
92	12	100	7,8	1	48.3881
93	12	100	7,9	1	39.9375
94	12	100	7,10	1	31.3704
95	12	100	7,11	1	23.435
96	12	100	8,0	1	23.9155
97	12	100	8,1	1	32.2556
98	12	100	8,2	1	39.3349
99	12	100	8,3	1	46.677
100	12	100	8,4	1	49.9035
101	12	100	8,5	1	52.3872
102	12	100	8,6	1	51.4514
103	12	100	8,7	1	49.4283
104	12	100	8,8	1	42.3701
105	12	100	8,9	1	36.3319
106	12	100	8,10	1	27.4661
107	12	100	8,11	1	20.9876
108	12	100	9,0	1	21.4538
109	12	100	9,1	1	26.4169
110	12	100	9,2	1	32.9028
111	12	100	9,3	1	38.0159
112	12	100	9,4	1	41.4598
113	12	100	9,5	1	43.2007
114	12	100	9,6	1	42.7841
115	12	100	9,7	1	39.9199
116	12	100	9,8	1	35.7201
117	12	100	9,9	1	29.6283
118	12	100	9,10	1	23.9723
119	12	100	9,11	1	18.8262
120	12	100	10,0	1	17.2307
121	12	100	10,1	1	21.4044
122	12	100	10,2	1	25.6145
123	12	100	10,3	1	28.8808
124	12	100	10,4	1	31.4129
125	12	100	10,5	1	32.9061
126	12	100	10,6	1	33.1102
127	12	100	10,7	1	30.813
128	12	100	10,8	1	27.5077
129	12	100	10,9	1	23.8357
130	12	100	10,10	1	19.2279
131	12	100	10,11	1	15.5495
132	12	100	11,0	1	13.8851
133	12	100	11,1	1	16.6544
134	12	100	11,2	1	19.1139
135	12	100	11,3	1	21.4724
136	12	100	11,4	1	23.1334
137	12	100	11,5	1	24.1483
138	12	100	11,6	1	23.7598
139	12	100	11,7	1	23.2168
140	12	100	11,8	1	20.9133
141	12	100	11,9	1	18.0033
142	12	100	11,10	1	15.2094
143	12	100	11,11	1	12.4485
