epoch	scaling	#test	difAvg	0difAvg	accur	TP	TN	FP	FN	P	N	correct
note: difAvg error (squared) and 0-difAvg error (squared) are multiplied by 100
0	1024	248	0.4828	0.4877	1.01	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	1280	270	0.2037	0.2069	1.0154	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	1536	271	0.4948	0.4978	1.0062	99.631	0.0	0.369	0.0	99.631	0.369	99.631
0	1792	291	0.2019	0.2042	1.011	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	2048	258	0.3867	0.3887	1.0052	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	2560	293	0.3843	0.3857	1.0038	99.3174	0.0	0.6826	0.0	99.3174	0.6826	99.3174
0	3072	257	0.4076	0.409	1.0034	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	3584	253	0.3203	0.3209	1.0021	99.6047	0.0	0.3953	0.0	99.6047	0.3953	99.6047
0	4096	270	0.2562	0.2573	1.0044	99.6296	0.0	0.3704	0.0	99.6296	0.3704	99.6296
0	5120	268	0.2274	0.228	1.0026	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	6144	247	0.1727	0.1732	1.0025	99.5951	0.0	0.4049	0.0	99.5951	0.4049	99.5951
0	7168	268	0.2555	0.2563	1.0031	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	8192	249	0.1577	0.158	1.0022	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	10240	253	0.3424	0.3428	1.0013	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	12288	243	0.3456	0.3459	1.0009	99.5885	0.0	0.4115	0.0	99.5885	0.4115	99.5885
0	14336	250	0.5237	0.5239	1.0004	98.8	0.0	0.4	0.8	99.6	0.4	98.8
0	16384	293	0.3743	0.3745	1.0005	99.6587	0.0	0.3413	0.0	99.6587	0.3413	99.6587
0	20480	232	0.4641	0.4645	1.0009	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	24576	254	0.3576	0.3579	1.0006	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	28672	294	0.3801	0.3802	1.0003	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	32768	281	0.3182	0.3183	1.0004	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	40960	283	0.4266	0.4267	1.0002	99.6466	0.0	0.0	0.3534	100.0	0.0	99.6466
0	2147483647	264	0.2294	0.2294	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	2147483647	280	0.324	0.324	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	2147483647	255	0.2955	0.2955	1.0	99.6078	0.0	0.3922	0.0	99.6078	0.3922	99.6078
0	2147483647	255	0.3697	0.3697	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	2147483647	266	0.3696	0.3696	1.0	99.6241	0.0	0.0	0.3759	100.0	0.0	99.6241
0	2147483647	282	0.3129	0.3129	1.0	99.6454	0.0	0.0	0.3546	100.0	0.0	99.6454
0	2147483647	258	0.3106	0.3106	1.0	99.6124	0.0	0.3876	0.0	99.6124	0.3876	99.6124
