3.045	1.852	1.883
0.588	0.498	1.593
1.428	1.475	1.12
1.191	1.872	1.425
1.137	1.074	1.619
1.114	0.691	1.186
3.618	-1.61	-0.837
1.479	1.359	1.306
1.342	1.557	2.474
1.141	2.464	1.005
0.346	0.919	1.748
0.805	1.024	1.389
1.225	1.64	2.43
0.824	1.507	1.162
0.311	0.496	2.096
1.708	-0.747	0.583
2.246	-0.207	0.436
1.157	0.82	1.319
0.747	0.952	1.883
1.904	2.123	0.785
3.204	0.693	1.327
0.03	-0.109	3.267
1.586	2.005	2.276
0.422	1.461	1.353
2.144	-0.579	0.462
0.896	1.43	1.398
2.374	-0.097	0.065
-0.355	-0.12	0.992
1.449	1.145	-0.869
0.352	1.092	1.721
1.75	1.254	2.542
-0.058	-1.195	2.752
0.251	0.442	3.532
2.945	3.186	2.993
0.167	2.313	0.445
3.453	1.865	1.807
2.661	0.257	-0.615
1.844	1.464	1.334
1.245	1.331	1.143
2.819	-0.478	-0.299
-0.296	-1.287	2.558
1.164	1.166	0.562
-1.289	2.718	-0.638
1.611	1.595	2.641
2.196	0.034	0.228
3.511	3.908	3.64
0.788	1.43	1.091
-0.175	3.162	-0.205
1.781	0.724	0.742
0.617	2.104	0.488
1.717	2.228	-0.427
2.605	1.701	1.772
-0.197	2.808	-0.194
2.453	1.233	1.259
-0.151	2.24	0.431
-1.821	-1.534	4.618
0.684	1.484	1.151
0.767	0.602	1.916
1.789	0.718	0.829
2.33	0.157	0.25
1.445	1.192	1.52
1.266	1.899	1.499
1.233	1.158	1.391
2.61	2.664	2.534
2.431	1.708	1.552
2.402	1.566	1.479
-0.228	-0.228	3.092
-0.552	2.633	-0.216
2.946	-0.271	-0.371
1.253	1.543	2.324
1.222	1.375	0.41
1.016	1.206	0.778
-0.662	0.051	3.212
0.686	1.056	1.553
1.001	0.24	1.634
2.068	1.459	1.067
2.072	1.116	1.666
1.514	1.197	1.588
4.434	-1.623	-1.702
3.043	3.246	3.169
2.312	2.584	2.172
1.215	1.842	0.937
0.427	2.008	1.136
1.227	-0.151	2.075
4.127	4.397	4.322
1.86	2.173	2.077
3.707	0.797	0.421
2.946	-0.508	-0.313
1.952	0.633	0.781
0.678	1.435	0.97
1.333	1.555	1.518
1.03	0.825	1.369
1.037	1.222	2.073
1.522	2.111	1.389
2.585	2.606	3.182
-0.431	2.875	-0.281
1.461	1.187	1.609
3.618	-1.182	-1.122
0.728	2.301	0.703
1.41	1.578	1.049
3.658	3.727	3.585
5.225	5.203	5.284
3.263	-0.275	-0.246
1.186	2.116	1.14
2.204	2.255	2.69
-0.355	2.061	-1.055
1.096	1.516	0.074
1.487	1.044	1.118
1.725	2.132	1.995
0.33	0.346	2.736
0.504	-0.466	3.34
1.248	1.14	-1.351
2.274	0.725	1.027
1.071	0.482	2.635
2.677	1.638	1.51
0.66	1.882	0.247
0.789	0.892	2.291
-1.107	-0.849	3.363
1.59	1.151	0.489
1.386	-0.149	1.019
2.719	-0.13	-0.293
1.024	0.746	1.608
-1.867	-1.845	4.447
3.537	0.573	-0.021
-1.028	1.268	1.354
