
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	1	1000	0.05	91.6194
1	12	900	100	1	1000	0.05	95.1185
2	12	900	100	1	1000	0.05	96.6618
3	12	900	100	1	1000	0.05	95.1935
4	12	900	100	1	1000	0.05	97.7368
5	12	900	100	1	1000	0.05	93.0448
6	12	900	100	1	1000	0.05	96.9613
7	12	900	100	1	1000	0.05	96.7743
8	12	900	100	1	1000	0.05	93.0016
9	12	900	100	1	1000	0.05	99.445
10	12	900	100	1	1000	0.05	93.3392
11	12	900	100	1	1000	0.05	94.6243
12	12	900	100	1	1000	0.05	97.2193
13	12	900	100	1	1000	0.05	94.2052
14	12	900	100	1	1000	0.05	94.3639
15	12	900	100	1	1000	0.05	95.5917
16	12	900	100	1	1000	0.05	97.0536
17	12	900	100	1	1000	0.05	94.9803
18	12	900	100	1	1000	0.05	94.2426
19	12	900	100	1	1000	0.05	96.2961
20	12	900	100	1	1000	0.05	95.6317
21	12	900	100	1	1000	0.05	93.6728
22	12	900	100	1	1000	0.05	93.8573
23	12	900	100	1	1000	0.05	97.2959
24	12	900	100	1	1000	0.05	94.6799
25	12	900	100	1	1000	0.05	96.0971
26	12	900	100	1	1000	0.05	97.7095
27	12	900	100	1	1000	0.05	95.1507
28	12	900	100	1	1000	0.05	92.3929
29	12	900	100	1	1000	0.05	96.4049
30	12	900	100	1	1000	0.05	94.6671
31	12	900	100	1	1000	0.05	93.736
32	12	900	100	1	1000	0.05	97.616
33	12	900	100	1	1000	0.05	96.7412
34	12	900	100	1	1000	0.05	96.2184
35	12	900	100	1	1000	0.05	96.0093
36	12	900	100	1	1000	0.05	95.1538
37	12	900	100	1	1000	0.05	94.2675
38	12	900	100	1	1000	0.05	96.3362
39	12	900	100	1	1000	0.05	96.8238
40	12	900	100	1	1000	0.05	97.2439
41	12	900	100	1	1000	0.05	97.4091
42	12	900	100	1	1000	0.05	97.3986
43	12	900	100	1	1000	0.05	97.4788
44	12	900	100	1	1000	0.05	94.8418
45	12	900	100	1	1000	0.05	97.7902
46	12	900	100	1	1000	0.05	93.5287
47	12	900	100	1	1000	0.05	95.8135
48	12	900	100	1	1000	0.05	96.9865
49	12	900	100	1	1000	0.05	97.9454
