
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	0	1000	0.05	93.5089
1	12	900	100	0	1000	0.05	93.0296
2	12	900	100	0	1000	0.05	93.8471
3	12	900	100	0	1000	0.05	94.0398
4	12	900	100	0	1000	0.05	92.8904
5	12	900	100	0	1000	0.05	93.091
6	12	900	100	0	1000	0.05	93.7748
7	12	900	100	0	1000	0.05	93.3421
8	12	900	100	0	1000	0.05	94.6136
9	12	900	100	0	1000	0.05	94.134
10	12	900	100	0	1000	0.05	92.8345
11	12	900	100	0	1000	0.05	93.5138
12	12	900	100	0	1000	0.05	93.7151
13	12	900	100	0	1000	0.05	93.2563
14	12	900	100	0	1000	0.05	93.4792
15	12	900	100	0	1000	0.05	93.6816
16	12	900	100	0	1000	0.05	93.9199
17	12	900	100	0	1000	0.05	93.4421
18	12	900	100	0	1000	0.05	93.4994
19	12	900	100	0	1000	0.05	93.3021
20	12	900	100	0	1000	0.05	93.816
21	12	900	100	0	1000	0.05	92.9654
22	12	900	100	0	1000	0.05	93.4482
23	12	900	100	0	1000	0.05	93.5167
24	12	900	100	0	1000	0.05	93.1597
25	12	900	100	0	1000	0.05	94.0207
26	12	900	100	0	1000	0.05	92.8246
27	12	900	100	0	1000	0.05	93.2725
28	12	900	100	0	1000	0.05	93.5
29	12	900	100	0	1000	0.05	93.9873
30	12	900	100	0	1000	0.05	93.5638
31	12	900	100	0	1000	0.05	93.4491
32	12	900	100	0	1000	0.05	92.7484
33	12	900	100	0	1000	0.05	94.16
34	12	900	100	0	1000	0.05	93.29
35	12	900	100	0	1000	0.05	93.9811
36	12	900	100	0	1000	0.05	92.8944
37	12	900	100	0	1000	0.05	93.9875
38	12	900	100	0	1000	0.05	93.3185
39	12	900	100	0	1000	0.05	93.4391
40	12	900	100	0	1000	0.05	93.1478
41	12	900	100	0	1000	0.05	92.9156
42	12	900	100	0	1000	0.05	93.6616
43	12	900	100	0	1000	0.05	93.668
44	12	900	100	0	1000	0.05	93.034
45	12	900	100	0	1000	0.05	94.3539
46	12	900	100	0	1000	0.05	93.7854
47	12	900	100	0	1000	0.05	94.0346
48	12	900	100	0	1000	0.05	93.75
49	12	900	100	0	1000	0.05	93.7967
