
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	1	5	0.0	31.2067
1	12	900	100	1	5	0.05	64.6675
2	12	900	100	1	5	0.1	45.7274
3	12	900	100	1	5	0.15	66.4852
4	12	900	100	1	5	0.2	47.2554
5	12	900	100	1	5	0.25	64.4979
6	12	900	100	1	5	0.3	66.4852
7	12	900	100	1	5	0.35	40.8861
8	12	900	100	1	5	0.4	17.5308
9	12	900	100	1	5	0.45	59.9
10	12	900	100	1	5	0.5	62.154
11	12	900	100	1	15	0.0	64.3123
12	12	900	100	1	15	0.05	65.1796
13	12	900	100	1	15	0.1	64.0553
14	12	900	100	1	15	0.15	68.32
15	12	900	100	1	15	0.2	61.8237
16	12	900	100	1	15	0.25	62.3277
17	12	900	100	1	15	0.3	68.2446
18	12	900	100	1	15	0.35	64.1425
19	12	900	100	1	15	0.4	63.5847
20	12	900	100	1	15	0.45	64.9963
21	12	900	100	1	15	0.5	63.4459
22	12	900	100	1	30	0.0	66.9028
23	12	900	100	1	30	0.05	64.8173
24	12	900	100	1	30	0.1	66.102
25	12	900	100	1	30	0.15	65.3781
26	12	900	100	1	30	0.2	68.2813
27	12	900	100	1	30	0.25	65.6244
28	12	900	100	1	30	0.3	63.2031
29	12	900	100	1	30	0.35	64.1244
30	12	900	100	1	30	0.4	64.3505
31	12	900	100	1	30	0.45	65.1837
32	12	900	100	1	30	0.5	64.7279
33	12	900	100	1	50	0.0	69.813
34	12	900	100	1	50	0.05	65.5439
35	12	900	100	1	50	0.1	65.8517
36	12	900	100	1	50	0.15	65.83
37	12	900	100	1	50	0.2	65.9601
38	12	900	100	1	50	0.25	66.0878
39	12	900	100	1	50	0.3	66.1365
40	12	900	100	1	50	0.35	68.4781
41	12	900	100	1	50	0.4	61.2314
42	12	900	100	1	50	0.45	64.9302
43	12	900	100	1	50	0.5	63.0392
44	12	900	100	1	100	0.0	69.1992
45	12	900	100	1	100	0.05	71.0544
46	12	900	100	1	100	0.1	69.6975
47	12	900	100	1	100	0.15	70.9783
48	12	900	100	1	100	0.2	72.6165
49	12	900	100	1	100	0.25	69.4327
50	12	900	100	1	100	0.3	65.9327
51	12	900	100	1	100	0.35	68.0166
52	12	900	100	1	100	0.4	68.2584
53	12	900	100	1	100	0.45	67.5429
54	12	900	100	1	100	0.5	71.3823
55	12	900	100	1	200	0.0	81.6653
56	12	900	100	1	200	0.05	80.8355
57	12	900	100	1	200	0.1	81.4249
58	12	900	100	1	200	0.15	79.3747
59	12	900	100	1	200	0.2	76.8275
60	12	900	100	1	200	0.25	77.7483
61	12	900	100	1	200	0.3	77.9291
62	12	900	100	1	200	0.35	73.6852
63	12	900	100	1	200	0.4	73.8826
64	12	900	100	1	200	0.45	75.9078
65	12	900	100	1	200	0.5	69.1383
66	12	900	100	1	300	0.0	81.6027
67	12	900	100	1	300	0.05	84.5199
68	12	900	100	1	300	0.1	82.64
69	12	900	100	1	300	0.15	83.1306
70	12	900	100	1	300	0.2	84.8244
71	12	900	100	1	300	0.25	83.6412
72	12	900	100	1	300	0.3	78.2792
73	12	900	100	1	300	0.35	79.6926
74	12	900	100	1	300	0.4	75.8601
75	12	900	100	1	300	0.45	76.3241
76	12	900	100	1	300	0.5	77.2109
77	12	900	100	1	500	0.0	87.4025
78	12	900	100	1	500	0.05	86.1962
79	12	900	100	1	500	0.1	87.2712
80	12	900	100	1	500	0.15	83.5678
81	12	900	100	1	500	0.2	86.2029
82	12	900	100	1	500	0.25	86.096
83	12	900	100	1	500	0.3	85.4637
84	12	900	100	1	500	0.35	83.5164
85	12	900	100	1	500	0.4	82.48
86	12	900	100	1	500	0.45	79.6916
87	12	900	100	1	500	0.5	81.1645
88	12	900	100	1	1000	0.0	87.6406
89	12	900	100	1	1000	0.05	89.3516
90	12	900	100	1	1000	0.1	88.7391
91	12	900	100	1	1000	0.15	89.6173
92	12	900	100	1	1000	0.2	91.1706
93	12	900	100	1	1000	0.25	89.5783
94	12	900	100	1	1000	0.3	88.1808
95	12	900	100	1	1000	0.35	87.0672
96	12	900	100	1	1000	0.4	84.8645
97	12	900	100	1	1000	0.45	87.5982
98	12	900	100	1	1000	0.5	86.0152
99	12	900	100	1	2000	0.0	84.7993
100	12	900	100	1	2000	0.05	87.9592
101	12	900	100	1	2000	0.1	88.7458
102	12	900	100	1	2000	0.15	88.8128
103	12	900	100	1	2000	0.2	87.1418
104	12	900	100	1	2000	0.25	88.7126
105	12	900	100	1	2000	0.3	88.9103
106	12	900	100	1	2000	0.35	90.1476
107	12	900	100	1	2000	0.4	88.1809
108	12	900	100	1	2000	0.45	90.3085
109	12	900	100	1	2000	0.5	88.3106
110	12	900	100	1	3000	0.0	79.2383
111	12	900	100	1	3000	0.05	87.0574
112	12	900	100	1	3000	0.1	87.5195
113	12	900	100	1	3000	0.15	90.4857
114	12	900	100	1	3000	0.2	87.3962
115	12	900	100	1	3000	0.25	91.3279
116	12	900	100	1	3000	0.3	89.0814
117	12	900	100	1	3000	0.35	90.2489
118	12	900	100	1	3000	0.4	88.8802
119	12	900	100	1	3000	0.45	88.3944
120	12	900	100	1	3000	0.5	87.8313
121	12	900	100	1	4000	0.0	80.5218
122	12	900	100	1	4000	0.05	83.5642
123	12	900	100	1	4000	0.1	87.7354
124	12	900	100	1	4000	0.15	88.6039
125	12	900	100	1	4000	0.2	87.9259
