
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	0	6000	0.0	90.4219
1	12	900	100	0	6000	0.05	86.7789
2	12	900	100	0	6000	0.1	92.0811
3	12	900	100	0	6000	0.15	91.7557
4	12	900	100	0	6000	0.2	91.3943
5	12	900	100	0	6000	0.25	84.4366
6	12	900	100	0	6000	0.3	87.5991
7	12	900	100	0	6000	0.35	81.9833
8	12	900	100	0	6000	0.4	75.6405
9	12	900	100	0	6000	0.45	81.8523
10	12	900	100	0	6000	0.5	79.8045
11	12	900	100	0	8000	0.0	86.3533
12	12	900	100	0	8000	0.05	93.1041
13	12	900	100	0	8000	0.1	94.3765
14	12	900	100	0	8000	0.15	86.3873
15	12	900	100	0	8000	0.2	92.3144
16	12	900	100	0	8000	0.25	81.5861
17	12	900	100	0	8000	0.3	82.9638
18	12	900	100	0	8000	0.35	80.3202
19	12	900	100	0	8000	0.4	80.0132
20	12	900	100	0	8000	0.45	80.4313
21	12	900	100	0	8000	0.5	80.3301
22	12	900	100	0	4000	0.4	79.5997
23	12	900	100	0	4000	0.45	82.2808
24	12	900	100	0	4000	0.5	80.6601
