
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	0	1000	0.05	93.1056
1	12	900	100	0	1000	0.05	91.7673
2	12	900	100	0	1000	0.05	92.2614
3	12	900	100	0	1000	0.05	92.4002
4	12	900	100	0	1000	0.05	93.0586
5	12	900	100	0	1000	0.05	91.8552
6	12	900	100	0	1000	0.05	93.7473
7	12	900	100	0	1000	0.05	92.2842
8	12	900	100	0	1000	0.05	92.7459
9	12	900	100	0	1000	0.05	92.4481
10	12	900	100	0	1000	0.05	92.3201
11	12	900	100	0	1000	0.05	92.3326
12	12	900	100	0	1000	0.05	91.565
13	12	900	100	0	1000	0.05	92.7061
14	12	900	100	0	1000	0.05	91.8477
15	12	900	100	0	1000	0.05	91.6955
16	12	900	100	0	1000	0.05	91.1159
17	12	900	100	0	1000	0.05	92.302
18	12	900	100	0	1000	0.05	93.8727
0	12	900	100	0	1000	0.05	92.3504
1	12	900	100	0	1000	0.05	91.9536
2	12	900	100	0	1000	0.05	92.0866
3	12	900	100	0	1000	0.05	90.9735
4	12	900	100	0	1000	0.05	92.8585
5	12	900	100	0	1000	0.05	92.5894
6	12	900	100	0	1000	0.05	91.0903
7	12	900	100	0	1000	0.05	92.93
8	12	900	100	0	1000	0.05	93.2949
9	12	900	100	0	1000	0.05	92.2511
10	12	900	100	0	1000	0.05	91.5898
11	12	900	100	0	1000	0.05	93.4498
12	12	900	100	0	1000	0.05	93.2503
13	12	900	100	0	1000	0.05	90.8889
14	12	900	100	0	1000	0.05	91.9868
15	12	900	100	0	1000	0.05	91.5189
16	12	900	100	0	1000	0.05	92.7352
17	12	900	100	0	1000	0.05	91.7122
18	12	900	100	0	1000	0.05	91.4407
19	12	900	100	0	1000	0.05	90.9946
20	12	900	100	0	1000	0.05	89.9345
21	12	900	100	0	1000	0.05	91.9625
22	12	900	100	0	1000	0.05	92.1608
23	12	900	100	0	1000	0.05	93.0562
24	12	900	100	0	1000	0.05	92.6229
25	12	900	100	0	1000	0.05	92.5007
26	12	900	100	0	1000	0.05	91.1021
27	12	900	100	0	1000	0.05	91.1163
28	12	900	100	0	1000	0.05	93.2311
29	12	900	100	0	1000	0.05	92.7637
30	12	900	100	0	1000	0.05	93.2901
