
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	0	4000	0.4	92.2824
1	12	900	100	0	4000	0.45	91.1313
2	12	900	100	0	4000	0.5	90.9934
3	12	900	100	0	6000	0.0	90.2923
4	12	900	100	0	6000	0.05	93.6343
5	12	900	100	0	6000	0.1	93.725
6	12	900	100	0	6000	0.15	93.3324
7	12	900	100	0	6000	0.2	93.4429
8	12	900	100	0	6000	0.25	91.7477
9	12	900	100	0	6000	0.3	91.6425
10	12	900	100	0	6000	0.35	93.366
11	12	900	100	0	6000	0.4	91.2268
12	12	900	100	0	6000	0.45	89.5437
13	12	900	100	0	6000	0.5	90.1759
14	12	900	100	0	8000	0.0	87.2323
15	12	900	100	0	8000	0.05	92.9573
16	12	900	100	0	8000	0.1	92.5786
17	12	900	100	0	8000	0.15	93.9105
18	12	900	100	0	8000	0.2	93.1951
19	12	900	100	0	8000	0.25	93.345
20	12	900	100	0	8000	0.3	91.1885
21	12	900	100	0	8000	0.35	91.4606
22	12	900	100	0	8000	0.4	91.7212
