
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	1	1000	0.05	90.9014
1	12	900	100	1	1000	0.05	88.9295
2	12	900	100	1	1000	0.05	90.0871
3	12	900	100	1	1000	0.05	88.5108
4	12	900	100	1	1000	0.05	92.426
5	12	900	100	1	1000	0.05	89.6814
6	12	900	100	1	1000	0.05	91.8234
7	12	900	100	1	1000	0.05	91.999
8	12	900	100	1	1000	0.05	92.6266
9	12	900	100	1	1000	0.05	92.2454
10	12	900	100	1	1000	0.05	89.9028
11	12	900	100	1	1000	0.05	91.5303
12	12	900	100	1	1000	0.05	90.0547
13	12	900	100	1	1000	0.05	89.5871
14	12	900	100	1	1000	0.05	89.9255
15	12	900	100	1	1000	0.05	91.4589
16	12	900	100	1	1000	0.05	91.9076
17	12	900	100	1	1000	0.05	88.6684
18	12	900	100	1	1000	0.05	91.3837
19	12	900	100	1	1000	0.05	89.4427
20	12	900	100	1	1000	0.05	88.8774
21	12	900	100	1	1000	0.05	90.7134
22	12	900	100	1	1000	0.05	90.67
23	12	900	100	1	1000	0.05	89.2989
24	12	900	100	1	1000	0.05	89.2723
25	12	900	100	1	1000	0.05	91.0424
26	12	900	100	1	1000	0.05	87.8678
27	12	900	100	1	1000	0.05	91.7825
28	12	900	100	1	1000	0.05	90.0668
29	12	900	100	1	1000	0.05	89.6818
30	12	900	100	1	1000	0.05	91.6834
31	12	900	100	1	1000	0.05	91.4503
32	12	900	100	1	1000	0.05	88.8469
33	12	900	100	1	1000	0.05	91.7025
34	12	900	100	1	1000	0.05	90.1076
35	12	900	100	1	1000	0.05	92.3823
36	12	900	100	1	1000	0.05	91.5872
37	12	900	100	1	1000	0.05	93.3236
38	12	900	100	1	1000	0.05	91.0231
39	12	900	100	1	1000	0.05	90.0515
40	12	900	100	1	1000	0.05	90.838
41	12	900	100	1	1000	0.05	90.2387
42	12	900	100	1	1000	0.05	89.6326
43	12	900	100	1	1000	0.05	90.8701
44	12	900	100	1	1000	0.05	89.4342
45	12	900	100	1	1000	0.05	90.6127
46	12	900	100	1	1000	0.05	91.3882
47	12	900	100	1	1000	0.05	88.3225
48	12	900	100	1	1000	0.05	91.3422
49	12	900	100	1	1000	0.05	90.4403
