
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	1	1000	0.05	91.6921
1	12	900	100	1	1000	0.05	89.2437
2	12	900	100	1	1000	0.05	91.2495
3	12	900	100	1	1000	0.05	90.0589
4	12	900	100	1	1000	0.05	90.8485
5	12	900	100	1	1000	0.05	87.8377
6	12	900	100	1	1000	0.05	89.4839
7	12	900	100	1	1000	0.05	89.9802
8	12	900	100	1	1000	0.05	91.1515
9	12	900	100	1	1000	0.05	89.858
10	12	900	100	1	1000	0.05	90.8745
11	12	900	100	1	1000	0.05	88.323
12	12	900	100	1	1000	0.05	89.5067
13	12	900	100	1	1000	0.05	91.2015
14	12	900	100	1	1000	0.05	91.0357
15	12	900	100	1	1000	0.05	89.8403
16	12	900	100	1	1000	0.05	90.7142
17	12	900	100	1	1000	0.05	92.35
18	12	900	100	1	1000	0.05	90.7132
19	12	900	100	1	1000	0.05	90.0596
20	12	900	100	1	1000	0.05	91.4818
21	12	900	100	1	1000	0.05	90.4003
22	12	900	100	1	1000	0.05	91.6857
23	12	900	100	1	1000	0.05	88.9162
24	12	900	100	1	1000	0.05	91.0004
25	12	900	100	1	1000	0.05	90.2285
26	12	900	100	1	1000	0.05	92.4258
27	12	900	100	1	1000	0.05	91.0523
28	12	900	100	1	1000	0.05	91.4603
29	12	900	100	1	1000	0.05	91.172
30	12	900	100	1	1000	0.05	90.2942
31	12	900	100	1	1000	0.05	90.6963
32	12	900	100	1	1000	0.05	88.1115
33	12	900	100	1	1000	0.05	92.7138
34	12	900	100	1	1000	0.05	91.3439
35	12	900	100	1	1000	0.05	88.03
36	12	900	100	1	1000	0.05	90.4167
37	12	900	100	1	1000	0.05	90.3105
38	12	900	100	1	1000	0.05	91.1698
39	12	900	100	1	1000	0.05	89.5989
40	12	900	100	1	1000	0.05	92.2374
41	12	900	100	1	1000	0.05	90.2872
42	12	900	100	1	1000	0.05	90.2289
43	12	900	100	1	1000	0.05	92.8311
44	12	900	100	1	1000	0.05	91.2946
45	12	900	100	1	1000	0.05	91.951
46	12	900	100	1	1000	0.05	91.0308
47	12	900	100	1	1000	0.05	90.4272
48	12	900	100	1	1000	0.05	90.107
49	12	900	100	1	1000	0.05	89.4964
