
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	1	6000	0.0	79.5922
1	12	900	100	1	6000	0.05	87.2829
2	12	900	100	1	6000	0.1	86.8022
3	12	900	100	1	6000	0.15	87.6311
4	12	900	100	1	6000	0.2	87.1995
5	12	900	100	1	6000	0.25	89.6604
6	12	900	100	1	6000	0.3	88.9576
7	12	900	100	1	6000	0.35	89.3068
8	12	900	100	1	6000	0.4	89.1785
9	12	900	100	1	6000	0.45	88.7734
10	12	900	100	1	6000	0.5	89.4909
11	12	900	100	1	8000	0.0	76.3709
12	12	900	100	1	8000	0.05	85.107
13	12	900	100	1	8000	0.1	84.9017
14	12	900	100	1	8000	0.15	88.2162
15	12	900	100	1	8000	0.2	88.8364
16	12	900	100	1	8000	0.25	91.5239
17	12	900	100	1	8000	0.3	89.1545
18	12	900	100	1	8000	0.35	90.5903
19	12	900	100	1	8000	0.4	87.9852
20	12	900	100	1	8000	0.45	88.2802
21	12	900	100	1	8000	0.5	86.9988
