
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	0	4000	0.2	90.7473
1	12	900	100	0	4000	0.25	92.8151
2	12	900	100	0	4000	0.3	92.5765
3	12	900	100	0	4000	0.35	92.8752
4	12	900	100	0	4000	0.4	91.3776
5	12	900	100	0	4000	0.45	92.0788
6	12	900	100	0	4000	0.5	91.5767
7	12	900	100	0	6000	0.0	90.6657
8	12	900	100	0	6000	0.05	93.726
9	12	900	100	0	6000	0.1	93.7933
10	12	900	100	0	6000	0.15	93.3701
11	12	900	100	0	6000	0.2	93.1694
12	12	900	100	0	6000	0.25	93.8532
13	12	900	100	0	6000	0.3	92.2719
14	12	900	100	0	6000	0.35	91.2484
15	12	900	100	0	6000	0.4	92.3517
16	12	900	100	0	6000	0.45	91.0987
17	12	900	100	0	6000	0.5	90.3698
18	12	900	100	0	8000	0.0	89.9575
19	12	900	100	0	8000	0.05	93.146
20	12	900	100	0	8000	0.1	93.2
21	12	900	100	0	8000	0.15	93.1639
22	12	900	100	0	8000	0.2	93.6883
23	12	900	100	0	8000	0.25	93.8413
24	12	900	100	0	8000	0.3	92.5214
25	12	900	100	0	8000	0.35	90.3933
