
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	0	1000	0.05	92.8297
1	12	900	100	0	1000	0.05	92.231
2	12	900	100	0	1000	0.05	92.0894
3	12	900	100	0	1000	0.05	92.5899
4	12	900	100	0	1000	0.05	91.1992
5	12	900	100	0	1000	0.05	93.1501
6	12	900	100	0	1000	0.05	93.059
7	12	900	100	0	1000	0.05	93.7783
8	12	900	100	0	1000	0.05	92.3747
9	12	900	100	0	1000	0.05	92.9241
10	12	900	100	0	1000	0.05	93.2863
11	12	900	100	0	1000	0.05	93.6473
12	12	900	100	0	1000	0.05	92.7477
13	12	900	100	0	1000	0.05	92.8148
14	12	900	100	0	1000	0.05	92.3578
15	12	900	100	0	1000	0.05	91.9568
16	12	900	100	0	1000	0.05	93.1577
17	12	900	100	0	1000	0.05	92.0142
18	12	900	100	0	1000	0.05	93.2033
19	12	900	100	0	1000	0.05	92.7088
20	12	900	100	0	1000	0.05	93.7
21	12	900	100	0	1000	0.05	92.7161
22	12	900	100	0	1000	0.05	92.7149
23	12	900	100	0	1000	0.05	92.7769
24	12	900	100	0	1000	0.05	91.8095
25	12	900	100	0	1000	0.05	91.9905
26	12	900	100	0	1000	0.05	91.3021
27	12	900	100	0	1000	0.05	92.2852
28	12	900	100	0	1000	0.05	92.6044
29	12	900	100	0	1000	0.05	92.4752
30	12	900	100	0	1000	0.05	91.2955
31	12	900	100	0	1000	0.05	92.2948
32	12	900	100	0	1000	0.05	92.0401
33	12	900	100	0	1000	0.05	92.9873
34	12	900	100	0	1000	0.05	91.3188
35	12	900	100	0	1000	0.05	92.0972
36	12	900	100	0	1000	0.05	91.8391
37	12	900	100	0	1000	0.05	90.7866
38	12	900	100	0	1000	0.05	90.8386
39	12	900	100	0	1000	0.05	92.0882
40	12	900	100	0	1000	0.05	93.5428
41	12	900	100	0	1000	0.05	92.2487
42	12	900	100	0	1000	0.05	91.4836
43	12	900	100	0	1000	0.05	91.9557
44	12	900	100	0	1000	0.05	92.9655
45	12	900	100	0	1000	0.05	93.2431
46	12	900	100	0	1000	0.05	93.4589
47	12	900	100	0	1000	0.05	93.2761
48	12	900	100	0	1000	0.05	92.371
49	12	900	100	0	1000	0.05	91.928
