
< random search >
LR: 0.0~0.25, DROPOUT: 0.0~0.75
lr drouput avgSquareError
0.02463764 0.0 0.0001379
0.02463764 0.02354494 0.00022132
0.02463764 0.04708988 0.00052793
0.02463764 0.07063482 0.00083421
0.02463764 0.09417977 0.00154033
0.02463764 0.11772471 0.00566732
0.02463764 0.14126965 0.00118333
0.02463764 0.16481459 0.00317055
0.02463764 0.18835953 0.00445437
0.02463764 0.21190447 0.00364858
0.02463764 0.23544942 0.00554522
0.03079706 0.0 8.65e-05
0.03079706 0.02354494 0.000587
0.03079706 0.04708988 0.0005473
0.03079706 0.07063482 0.00313717
0.03079706 0.09417977 0.00143638
0.03079706 0.11772471 0.00228086
0.03079706 0.14126965 0.00402398
0.03079706 0.16481459 0.00544221
0.03079706 0.18835953 0.00376484
0.03079706 0.21190447 0.00413018
0.03079706 0.23544942 0.00577681
0.03695647 0.0 5.692e-05
0.03695647 0.02354494 0.00036831
0.03695647 0.04708988 0.0008924
0.03695647 0.07063482 0.00239602
0.03695647 0.09417977 0.00123908
0.03695647 0.11772471 0.0037601
0.03695647 0.14126965 0.00516336
0.03695647 0.16481459 0.00895419
0.03695647 0.18835953 0.00184461
0.03695647 0.21190447 0.00403487
0.03695647 0.23544942 0.00921387
0.04311588 0.0 0.01681507
0.04311588 0.02354494 0.00058111
0.04311588 0.04708988 0.00171668
0.04311588 0.07063482 0.00160463
0.04311588 0.09417977 0.00170464
0.04311588 0.11772471 0.00765001
0.04311588 0.14126965 0.0099737
0.04311588 0.16481459 0.00680518
0.04311588 0.18835953 0.01055176
0.04311588 0.21190447 0.00837281
0.04311588 0.23544942 0.00608098
0.04927529 0.0 0.00010016
0.04927529 0.02354494 0.00109394
0.04927529 0.04708988 0.00116901
0.04927529 0.07063482 0.00350571
0.04927529 0.09417977 0.01805828
0.04927529 0.11772471 0.0051167
0.04927529 0.14126965 0.00807664
0.04927529 0.16481459 0.00544153
0.04927529 0.18835953 0.00552371
0.04927529 0.21190447 0.00693973
0.04927529 0.23544942 0.00536687
0.0554347 0.0 0.00014371
0.0554347 0.02354494 0.00093437
0.0554347 0.04708988 0.00111738
0.0554347 0.07063482 0.00650374
0.0554347 0.09417977 0.00087432
0.0554347 0.11772471 0.00313103
0.0554347 0.14126965 0.00260806
0.0554347 0.16481459 0.0025238
0.0554347 0.18835953 0.0036365
0.0554347 0.21190447 0.00406865
0.0554347 0.23544942 0.00652341
0.06159411 0.0 0.00021043
0.06159411 0.02354494 0.00060575
0.06159411 0.04708988 0.00175427
0.06159411 0.07063482 0.00311671
0.06159411 0.09417977 0.00151906
0.06159411 0.11772471 0.00625784
0.06159411 0.14126965 0.00268768
0.06159411 0.16481459 0.00313911
0.06159411 0.18835953 0.00521816
0.06159411 0.21190447 0.00937281
0.06159411 0.23544942 0.00988938

< set target space >
lrMin=0.0 lrMax=0.06159411135022501 lrGap=0.06159411135022501
dropoutMin=0.0 dropoutMax=0.23544941638325867 dropoutGap=0.23544941638325867
minErrorLr=0.03695646681013501 minErrorDropout=0.0
new lrMin=0.024637644540090008 new lrMax=0.04927528908018001
new dropoutMin=-0.047089883276651735 new dropoutMax=0.047089883276651735
